Group,Description,Allies,Opps,Notable Bodies
WGM (WOODGREENMOB),"22MOB is a Gang located in North London in Wood Green on the Commerce Road. They are a very active gang and have been around for nearly 30 years + dating back to the 1970s where blockheads from Wood Green would sell drugs to make money, they are very very closely allied with Edmonton Green, they are also one of North London’s Top Sets. They also go by #WG , #N22 , #MOB , #GreenGang , #DBlock/DBMG , #LampzWorld , #MelloCity , #MOBCity , #WoodGreenMOB , #GSH and #Block2.","3×3/N9 (Edmonton) , TPL22-15thSide(Turnpike Lane) , 6th (Beckton),37OJB (Clapham Junction)","NPK (Tottenham) , OFB (Tottenham) , N1 (Hoxton) , 9thStreet (Graham Park) , APY/Skengfield (Enfield) , 8th (Hornsey), N15 (South Tottenham). 197 (Finchely)","Crimer (8th) , Nesha (NPK) , Kobi (NPK), Profit (N15/OFB), Lucci (NPK) , Chicken (PBlock/AP), MoneyJ (8th),KB (8th). Dsq (8th affiliate), Lukey Maxwell"
3×3 GANG,"3×3 Gang is a Renegade Set located in Edmonton Green on the Notorious Bounces Road. They are not the only set in Edmonton however they are one of the most notable as they have been making the most noise recently. They have been properly active since 2017. They also go by #BR9 , #AFG , and more names.","22 (Wood Green) , 6th (Beckton) , TPL22-15thSide (Turnpike Lane), 37OJB (Clapham Junction)","NPK (Tottenham) , OFB (Tottenham) , N15 (South Tottenham) , 8th (Hornsey) , N1 (Hoxton), AP/Skengfield (Enfield), LTH/86 (Lower Tulse Hill)","Chicken ( AP/GMG) , Teon Palmer ( Tottenham Affiliate). Leon James (Ponders End)  Ike (N18), Violent (N18)"
OFB,"OFB (Original Farm Blocks) is the name of the current gang based on the Broadwater Farm Estate in Tottenham, Haringey, N17.

Despite the historic beef with London Fields, death and prison sentences of the older generation have meant that new alliances and rivalries have formed. NPK have followed in the footsteps of former Broadwater Farm allies, Edmonton and Wood Green, and are now considered rivals.

While the gang remains active, they are a shadow of their former selves, with the reputation they once had on the street being redirected to music.","Tiverton (N15), ZT (London Fields), A-Team (Islington), Hoxton Boys (Hoxton), 8th (Hornsey)"," 22 (Wood Green), 3×3/ #900 (Edmonton), NPK (Tottenham), TPL8/15-22 (Turnpike Lane)",
SKENGFIELD/AP,"AP are a gang from the Albany Park section of Enfield, EN3, north London. They also go by the names Skengfield, 3rd, and Block Defenders. The gang has a large Somali makeup, accounting for roughly 50% of members, with other members being Turkish, Jamaican, English and African descent.

Credit to @skengfield_ap for help with the info

In previous years they were known as GMG (Get Money Gang), who associated with the colour brown and were the youngers of the even older Island Village gang, EIV (Enfield Island Village), also known as Black Gang, and Black Bandana Gang. The area has been active for over 20 years with GMG being founded around 1997 and IV being even older.

They are known to have close ties to Turkish-Kurdish crime families and dominated the drug and gun market during the 2000s. At their peak they were generating millions of pounds a year in sales and had links right across London.

Following police operations and surveillance, key members would be arrested which would weaken the gang. Several high ranking members would be locked up or killed and the gang’s influence would weaken.","NPK (Tottenham), TPL/8 (Turnpike Lane), LTH/ 86 (Lower Tulse Hill), HBrothers (Hoxton), 8th (Hornsey), Mali Strip (Waltham Forest), 12/ OM (Manor Park), P Block (Ponders End)","3×3 (Edmonton), 9 (Edmonton), 22 (Wood Green), TPL/15-22 (Turnpike Lane)",
NPK/NORTHUMBERLAND PARK KIDS,"NPK, also known as Sin Squad, are a gang based around the Northumberland Park and Park Lane area of Tottenham, N17, near the White Hart Lane football stadium.

NPK is a former set of TMD, which following the disbanding of the gang became their own independent gang.

In previous years, older sets from the area included the Bun Dem Crew and Shoddie Crew.","TPL8th (Turnpike Lane), 3rd/ AP (Enfield), Tiverton/ N15 (Tottenham), HBrothers/ N1 (Hoxton), PBlock (Ponders End), V8 (Hornsey)","OFB (Tottenham), 22 (Wood Green), 3×3/ 900 (Edmonton), TPL15/22 (Turnpike Lane)",
N15,"N15 is a gang from south Tottenham, based around several blocks including Tiverton Road, Ida Road, Appleby Close, Edgecot Grove and the Stonebridge estate.

They are an amalgamation of several different gangs that were historically active across the N15 postcode, including Tiverton and Ida Bloods.

In previous years the Tiverton set were known as Tiverton, Tiverton Mandem, Tiverton Pirus, T-Block, 15TH Side and N-One-Five. They have historically associated with the colour burgundy, the official colour of Pirus. The Ida block set were known as Ida Boys, Ida Rydaz, Ida Bloodstarz, and Graveyard Family and repped the colour red, the official colour of the Bloods.

The red and burgundy colour association is in reference to the red bricks that make up the estates in the area.

Tiverton has been active since the 80s and were originally part of TMD and were part of the “south Tottenham alliance” along with Ida Road, Edgecot Grove, Bourne and Twyford blocks, and the Stonebridge estate, between Seven Sisters Road, St Ann’s Road and Tottenham High Road) (not to be confused with the Stonebridge estate in Brent). The south Tottenham alliance were the first Tottenham gangs to beef Wood Green and Edmonton.

The also has a history of organised crime, with Turkish, Kurdish and Colombian crews operating as drug distributors in the area.","OFB (Tottenham), NPK (Tottenham), HBrothers (Hoxton), 8th (Hornsey), AP/ 3rd (Enfield)","22 (Wood Green), 3×3 (Edmonton), 9 (Edmonton), 48 (Green Lane)",
V8/HORNSEY,"8th, also known as Villeside and V8 are a gang from Hornsey in Haringey, N8. They are based around the Crouch Hill and Stroud Green area, specifically the Campsbourne and Lightfoot Estates and Priory Road/ Priory Park.

In previous years Hornsey came under control of the Wood Green Firm and Wood Green Mandem, until breaking away in the late 90s to form the Hornsey Mandem.

They would also be known as the Hornsey Mafia, Hornsey MOB, until 2005 when they would rebrand as GBG (Grey Bandana Gang), Hornsey Grey Gang.","OFB (Tottenham), Priory Court (Walthamstow), OMH (Manor House), Stamford Hill (Hackney), Busy Block (Elthorne), TPL8 (Turnpike Lane)","22 (Wood Green), 3×3 (Edmonton), 9 (Edmonton)",
OMH/MANOR HOUSE,"OMH (Original Manor House) is a gang located on the Woodberry Down estate in the Manor House area of Hackney, N4. They also go by MH which stands for Money Hungry and Manor House.

They are close to Stamford Hill and are part of the MTS (Manor to Stamford) alliance, also known as 135 (One Trey Five) Piru, MTS 135 and 416. Both gangs identify as Piru’s and have historically associated with the colour burgundy.

This connection to the Bloods gang is thought to have originated with arrival of a deported New Yorker and Miller Gangsta Blood member, Alexander Baker aka Miller Gunz. He was deported back to Britain in 2005 after US authorities learnt he had been born in the United Kingdom. Alexander Baker, aka Miller Gunz, was born in Hackney and moved to New York City with his mother in the early 1980’s where he grew up around the south Bronx and Queens.",LLNB (Stamford Hill),"Stokey16 (Stoke Newington), ZT (London Fields) 22 (WoodGreen)",
TPL GANG,,"NPK (Tottenham), AP (Enfield), NGang (Northolt), AG (Camden), 22 (Wood Green), 3×3 (Edmonton), 9 (Edmonton)",,
7TH WOODGRANGE X BWC GANG PROFILE,"7th is a gang located in East London in the Forest Gate area in the Northside of Newham. Most members are usually found around Blackwater Close Estate and Woodgrange Estate. They are also known for their notable Northside Vs Southside of Newham war which is a war which has been going on for 10 years+. They also go by #BWC, #PBlocka and #7thSide.","15th(Stratford) , CGE(Plaistow) , 12th (Manor Park).","6th(Beckton) , 16th/CH(Custom House).",
ACG/6TH,"#6 is a gang from Beckton, Newham, E6. The area has been active for many years, with the current set being ACG (Anyone Can Go). The gang can be found around the Savage Gardens area, but also have ties to Tollgate Road and the Windsor Park and Cyprus estates.

Previous sets in the area were known as Beckton Souljahs, Young Beckton Souljahs, BBS (Beckton Black Squad), BKT (abbreviation of Beckton), Trap 6 and HTM (Harder Than Most). While Beckton’s historic enemies in northern Newham have remained the same, the north vs south war has seen the former enemy, Custom House, become an ally."," E16/ CH (Custom House), Hammerville (East Ham), 22 (Wood Green), 3×3 (Edmonton), #900 (Edmonton)","E7 (Forest Gate), E13/ CGE (Plaistow), E15 (Stratford), Mali Strip (Leyton), E12/ Manor Park, OFB (Tottenham)",
CGE,"13th, also known as CGE, are based in the Plaistow area of Newham, mainly in and around the Chadd Green Estate. They align themselves with north Newham in the beef against their southern rivals, Beckton and Custom House/ Canning Town.

For many years, Plaistow and Stratford have shared a very close alliance, even moving as one unit, SPB (Stratford & Plaistow Boys). This set no longer exists, but the two sides continue to share a close bond.","7th/ BWC (Forest Gate), 15th (Stratford), 12th (Manor Park)","6th/ ACG (Beckton), 16th/ CH (Custom House/ Canning Town)",
9INERS,"9iners are a gang from the Homerton district of Hackney, E9. They are based mainly in and around Well Street, Ballance Road, Morning Lane, and the Gascoyne Estate.

Contrary to popular opinion, 9iners are not the only gang from Homerton, nor is this the gang name.

The gang is a combination of several older sets which came together, known as 925 or NTF. This is due to the gangs turf ranging from E9 to E5, from Ballance Road to Pembury.","Holly Street/ 98s, OMH (Manor House), Stamford Hill, Hoxton (N1), Pembury (Hackney)"," ZT (London Fields), Stokey16, Nightingale, Amhurst Road, Red Pitch (Shellgrove), Rectory Road (Stoke Newington), Kingsmead (Homerton), 15th (Stratford)",
ZERO TOLERANCE,"ZT (Zero Tolerance) is the current set from London Fields, Hackney, E8. They are primarily located on the estates west of London Fields park, including Blackstone and Field, an area known as “Mash Town”.

London Fields has been an active part of Hackney for decades, making up a large part of the original Hackney Boys gang, being the most active set in the beef against Tottenham Mandem in the 90s and 00s. They would eventually brench off from Hackney Boys and focus on representing the London Fields area.

Previous sets from London Fields include Mash Town, Ride Out Squad, and London Field Boys.","Stokey16 (Stoke Newington), Amhurst Road, 5th (Clapton), 22 (Wood Green), USG (South Stonebridge), SSK (South Kilburn), OFB (Tottenham)","9iners (Homerton), Holly Street (Hackney), Pembury, Hoxton/ N1, OMH (Manor House), Cally Road (N1)",
CUSTOM HOUSE,"CH/ 16th are a gang primerily located on Freemasons Road and Nottingham Avenue, in the Custom House section of the southside of Newham, E16. They associate with the colour white. They also share a very close alliance with the historically more prominent Canning Town (also E16), where GMs are often mistaken for each other.

Historically CH have been known as Custom House White Gang, with CH standing for Custom House, Crime Hood, or Certified Hustlers.

The Custom House and Beckton areas of Newham have a long history of crime, dating back to before the arrival of “black gangs”, where white organised crime was rampant."," ACG/ 6th (Beckton), 16th (Canning Town)","7th (Forest Gate), 13th/ CGE (Plaistow), 15th (Stratford), 12th (Manor Park)",
MALI STRIP,"Mali Boys, also known as Mali Strip, are a gang from the areas of Leyton (E10) and Walthamstow (E17) of Waltham Forest. They are divided into two sets, with LTizzy representing E10 and SJ representing E17.

The Mali Boys roots lay with the older and once dominant Beaumont Boys gang located on the Beaumont Estate in Leyton, E10. Somali members who would gain access to the drugs market from the more experienced Jamaican olders would eventually organise the Somali youth under their wing and break off to form their own organisation, becoming rivals.

Unlike other gangs who beef over postcodes or personal issues, Mali Boys beef is often based upon their imposing onto the drug turf of other gangs.

While the Mali Boys maintain a very low profile on social media, they have been known to use it to gather information on rivals and police for the purpose of intimidation and fear. They have been known to spy and maintain very detailed records on police stations, undercover police officers and cars. In some instances, they have been known to force local business owners to destroy CCTV footage that could be used by authorities to link members to crimes.","Drive/ GMB/ DM (Walthamstow/ E17), Boundary (Walthamstow/ E17)"," 6th/ ACG (Beckton, E6), Beaumont Boys/ LGR (Leyton Green), BHR (Blackhorse Lane), Priory Court, Higham Hill, Woodford, Chingford, Leytonstone",
12/OM,"12th/ OM are a gang from the E12 region of Manor Park, Newham. They are allied with north Newham gangs. Manor Park have historically been a largely a Somali gang but recent years have seen them recruit from all ethnicities.

Historically the gang have gone by many names including CAGE, Manor Park Souljahs, Manor Rude Boys, Robbery City Section 6 and Snowhills, in reference to Snowhills Road.

The current set find themselves based in and around the estates between Romford Road and Jack Cornwall Street.","7th (Forest Gate), 13th (Plaistow), 15th (Stratford), CT (Clapham)","6th/ ACG (Beckton), 16th/ CH (Custom House), 1st (Illford)",
SIRAQ,"Siraq, also known as 727, Raq, and formerly Murder Zone, are a set based on the Somerleyton Estate in Brixton, SW9.

Somerleyton has been a very active part of Brixton and gang activity dates back to the 70s, with members of the estate being very active during both Brixton riots.

While they did share a close alliance with Angell Town and neighbouring estates, making up a faction of GAS Gang, recent years would see the two neighbourhoods split and actively beef.

Siraq are known to be ruthless, which is why they have been able to successfully hold their own against 10+ rival gangs surrounding them.

While not having many allies, they do share a small friendship with Harlem Spartans, both due to shared rivals and family relations of members, particularly cousins Lil’ Dan and Lattz/ SA.",Harlem Spartans (Kennington),"150/ AD (Angell Town), 861/LTH (Lower Tulse Hill), 410 (Myatts Field), Cassava (Loughborough Junction), 674 (Brixton Hill), UpTop (Upper Tulse Hill), MBlock (Stockwell), 37OJB (Clapham Junction), 28s (Croydon), 17Wano (Wandsworth), CT (Clapham), Pollards Hill (Mitcham)",
HARLEM SPARTANS,"Harlem Spartans are a set located in and around the Kennington Park Estate and Kennington Park Lane. They are a fairly young gang, forming around 2014 as an offshoot of the much older sets around Black Prince Road.
.
They took the name “Harlem” to refer to their means of making lots of money, similar to Harlem, NY in the 80s, and “Spartans” for their willingness to use violence. They often go by HarlemO (Harlem Only).","KuKu (SE11/ Black Prince Road), Moscow 17 (SE17/ Brandon Estate), AY (SE17/ Aylesbury Estate), 67 (SW2/ Brixton Hill), Roupell Park (SW2/ Roupell Park Estate), 727/Siraq (SW9/ Somerleyton)","150/AD/GBG (SW9/ Angell Town),

410 (SW9/ Myatts Field),

17/ Wano (SW4/ Wandsworth Road),

CT (SW4/ Notre Dame Estate),

37/OJB (SW11/ Clapham Junction),

CMG/ Cassava (SW9/ Loughborough Junction),

YPB/HS/Z2 (SE15/ Peckham),

SNR (SE15/ Leyton Park),

28s (Croydon),

UpTop (SW2/ Upper Tulse Hill)",
