"Group","Members"
"12/OM","['Farmer12', 'M12/ Mizzy', 'Kas', 'WreckIt', 'S Finesse', 'Anger', 'SQ', 'Snipez', 'SK', 'R12', 'OZ', 'Murda', 'YM', 'Reckless', 'Bigz', 'J', 'LA', 'Recky', 'LT']"
"12World/12Anti","['Box12', 'A2Anti', 'Fdot', 'Sav12', 'Little Katty', 'Ryder', 'S1', 'Tiny Remz', 'B-AR2', 'Y.S1', 'Jeezy', 'Lil’ Creepz', 'Triggzy', 'ADotz', 'YR', 'Bankroll', 'Remz', 'SJ', 'LK', 'Nico', 'S2S', 'Bugz', 'General', 'TR2', '326', 'ST', 'Y.Remz', 'Y.Creepz', 'AD', 'Y.Rev', 'Rev', 'TS', 'Pappz', 'J Jugg', 'Sharkie', 'G Loose', 'Kian', 'J West', 'R Sosa', 'AntiSocial', 'YZ', 'Jinx', 'J Skengz']"
"156","['TeeWizz', 'Y.TeeWizz', 'NitoNB', 'Jay', 'MadMax', 'WorkRate', 'AbSav', 'Mishy', 'SZ', 'Big S', 'R1', 'Tiny', 'Uncs', 'Bis36', 'K Rose', 'Number 5', 'Kaos', 'Unknown6', 'YM', 'SB', 'LP', 'Dexter']"
"7th WoodGrange x BWC Gang Profile","['Notable Members : Lil CJ', 'Yanko', 'CB', 'Y.CB', 'Pablo', 'Vadoe', 'Kayze', 'Whoosh', 'Snizzy', 'Skrilla', 'Prezzy', 'Whiteboy']"
"9iners","['KO', 'V9', 'Unknown T', 'Reeko', 'MTrapO', 'Germa', 'Mamba', 'Shegz', 'Dottz', 'Pack', 'Rashman', 'Perm', 'Aman', 'Target', 'Gunnaz', 'JDot', 'Datch', 'Jimmy', 'Kemzi', 'J Wavey', 'Mazza', 'Smokes', 'Kilo']"
"9th Street","['Notable Members : Soze', 'Rzo Munna', 'N90', 'Shady', 'YK', 'YB', 'Pumpz', 'Dice Trap', 'Lil Pumpz', 'SmokeyTrap', 'YS', 'Bricka', 'Y.Brickz', 'DiceDat', 'Lil Shak', 'Kraze', 'GeeYou']"
"ACG/6th","['Young Dizz', 'Striker', 'Castr6', 'Max Payne', 'B6ix', 'C-Rose', 'Bones', 'K6ix', 'Twin S', 'Twin H', 'Sluey', 'K', 'Promise', 'Rambzi', 'Cuzzy', 'P90', 'Younger P90', 'Tiny', 'S’Mental', 'PB', 'Trizzy Trapz', 'D’Sav', 'Mr. Active', 'Rusk', 'Younger Sluey', 'Asbo']"
"Active Gang","['Mitch', 'Sus', 'Hitman', 'S Wavey', 'SY', 'AR', 'Blitz', 'Reekz', 'Sid', 'Strika (former', 'CK', 'AK']"
"AY/Aylesbury Estate","['Cdai', 'MK', 'S Jeezy', 'J Waved', 'Alsz', 'Blacka', 'Pex', 'AD Deez', 'Smallz', '*** *****', 'L Bandz', 'JM', 'Elz', '****', '']"
"B-Side","['30', 'Django', 'Dizz', 'KK', 'BuckFiddy', 'Ghost', 'Msav', 'Reckz', 'Munch', 'Lil Dee', 'Rsz', 'SplitSplat', 'K1', 'Lil Archer', 'YR', 'Nuttz', 'Tempz', 'TF', 'C1', 'Grillz', 'Creepz', 'Danger', 'Clipz', 'Blacka', 'Scattz', 'Twitch', 'LJ', 'Bgod', 'K1zz']"
"Block 6","['A6', 'Ghostface600', 'Young A6', 'Lucii', 'TY Sosa', 'Tuggzy', 'Ratz', 'Levi', 'Lsz', 'Mad A', 'Dumpz']"
"Browning17","['Tiny/ 17thGod', 'LP', 'RKwenga', 'JLoud', 'Kwizzy/ K1', 'Ish', 'Intent', 'LA', 'Anti', 'Kiddo', 'Wizzle', 'Dipz']"
"CGE","['S13', 'Keikz', 'Civil', 'Lz', 'MA', 'Mobbz/ 13oss', 'TT', 'Local', 'Bo', 'Chedd', 'Pebs', 'SWork', 'JayBala', 'KayBala', 'Carlito Brown', 'Screw', 'Y. Screw', 'Whiteboy (derecruited', 'Sta9']"
"Church Road","['Zino', 'Nines', 'Skrapz', 'Fatz', 'J Styles', 'Trapstar Toxic', 'Streetz', 'Chappo', 'Sav', 'Q2T', 'Cash', 'Big Key', 'J Man', 'Storm', 'El Meano', 'Likkle T', 'Topps', 'Dundi', 'Fly Boy Tuff', 'Fatz', 'P Dubbz', 'Deep Green', 'Fundz', 'LS', 'Maestro', 'Rubbles', 'Wave', 'Stylie', 'Omar']"
"Cumbo","['Cash', 'Cwaps', 'Action', 'Skelly', 'Nutty', 'Culprit', 'Wonda', 'Snakz', 'Clipz', 'C2', 'JR']"
"Custom House","['Mover', 'Tony Blackz/ TB', 'Carter Carti', 'YP', 'Major', 'D’Sixteen', 'Grinner', 'Bankz', 'Maxie', 'JJ', 'Shanka', 'Kojo Funds', 'Cruise', 'V16', 'Squeeze', 'G28', 'Maveric', 'Durts/ Durti Muni', 'Young Sneaks', 'N90', 'AFR Bxbby', 'Kemo', 'Skitzo', 'Sneakz', 'Ginge']"
"3×3 Gang","['Rowdy', 'Mickz', 'SJ', 'Tiny', 'Big A', 'SJ', 'ZT', 'E1', 'Trapville', 'DV', 'Turner', 'Twinz', 'Anonymous A', 'Drose', 'Skat', 'StSavage,Tion Wayne (N9). ']"
"Harlem Spartans","['Latz/ SA', 'Loski', 'NM', 'Bis', 'Jojo', 'Phineas', 'Snow', 'Scratcha', 'Bellz', 'Chudz', 'Trapfit', 'Splash', 'TTrap', 'Zico', 'SD', 'Active', 'MizOrMac', 'TG Millian', 'Blanco', 'OnDrills', 'T.Y', 'GSplash', 'Aydee', 'LM', 'GG', 'Wizz']"
